1U|ABKZ607668NVIQTL64|¿Pregunta de muestra 1?    |2|Si|No
3G|ABKZ607668NVIQTL64|¿Pregunta de muestra 2?    |3|Si|No|Tal vez
1U|CIBY457198YTWKRU65|¿Pregunta de muestra 3?    |3|Si|No|Tal vez
9O|CIBY457198YTWKRU65|¿Pregunta de muestra 4?    |3|Si|No|Tal vez
9U|DNEY145989MBPSYA98|¿Pregunta de muestra5 ?    |4|Si|No|Tal vez|Me parece bien
1L|JNKE968528OEMZYM38|¿Pregunta de muestra 6?    |3|Si|No|Tal vez
3G|ABKZ607668NVIQTL64|¿Pregunta de muestra ?7    |3|Si|No|Tal vez
1U|CIBY457198YTWKRU65|¿Pregunta de muestra ?89   |3|Si|No|Tal vez
9O|CIBY457198YTWKRU65|¿Pregunta de muestra ?2    |3|Si|No|Tal vez
9U|DNEY145989MBPSYA98|¿Pregunta de muestra ?2    |3|Si|No|Tal vez
1S|DORD624610QZZEVN99|¿Pregunta de muestra ?     |3|Si|No|Tal vez
1S|DORD624610QZZEVN99|¿Pregunta de muestr1a 1?   |3|Si|No|Tal vez
1S|DORD624610QZZEVN99|¿Pregunta de muestra ?     |2|Si|No
8S|DORD624610QZZEVN99|¿Pregunta de muestra 4?    |3|Si|No|Tal vez
8P|DPUT562123IZFUWF82|¿Pregunta de muestra ?     |3|Si|No|Tal vez
1L|JNKE968528OEMZYM38|¿Pregunta de muestra ?2    |3|Si|No|Tal vez
3G|ABKZ607668NVIQTL64|¿Pregunta de muestra ?     |3|Si|No|Tal vez
1U|CIBY457198YTWKRU65|¿Pregunta de muestra ?     |3|Si|No|Tal vez
9O|CIBY457198YTWKRU65|¿Pregunta de mue3stra ?1   |3|Si|No|Tal vez
8S|DORD624610QZZEVN99|¿Pregunta de mue3stra1 ?   |3|Si|No|Tal vez
8S|EEQK651848EJOLQH20|¿Pregunta de muestra 4?    |3|Si|No|Tal vez
3G|GLBQ347762JXVITH87|¿Pregunta de muestra ?     |3|Si|No|Tal vez
9U|GLBQ347762JXVITH87|¿Pregunta de mu2estra ?    |3|Si|No|Tal vez
5K|JJVE136274OLPMEL24|¿Pregunta de muestr2a ?    |3|Si|No|Tal vez
9O|JJVE136274OLPMEL24|¿Pregunta de muestra ?     |3|Si|No|Tal vez
1L|JNKE968528OEMZYM38|¿Pregunta de muestra ?     |3|Si|No|Tal vez
3G|ABKZ607668NVIQTL64|¿Pregunta de mue3stra ?    |3|Si|No|Tal vez
9O|CIBY457198YTWKRU65|¿Pregunta de muestr2a ?    |3|Si|No|Tal vez
9U|DNEY145989MBPSYA98|¿Pregunta de muestra ?     |3|Si|No|Tal vez
1S|DORD624610QZZEVN99|¿Pregunta de muestra ?     |3|Si|No|Tal vez